Concello compuesto,id bruto,Concello bruto,,Concello_id,Concello,Renta disponible bruta per capita [miles de euros],2023
32008 Barbadás ,32008,Barbadás,,32008,Barbadás,16.726,"16,726"
"32009 Barco de Valdeorras, O ",32010,"Barco de Valdeorras, O ",,32010,"Barco de Valdeorras, O ",18.488,"18,488"
32010 Beade ,32010,Beade,,32010,Beade,17.285,"17,285"
32011 Beariz ,32011,Beariz,,32011,Beariz,11.738,"11,738"
"32012 Blancos, Os ",32013,"Blancos, Os ",,32013,"Blancos, Os ",12.485,"12,485"
32013 Boborás ,32013,Boborás,,32013,Boborás,11.770,"11,770"
"32014 Bola, A ",32015,"Bola, A ",,32015,"Bola, A ",12.714,"12,714"
"32015 Bolo, O ",32016,"Bolo, O ",,32016,"Bolo, O ",15.962,"15,962"
32016 Calvos de Randín ,32017,Calvos de Randín ,,32017,Calvos de Randín ,12.788,"12,788"
32017 Carballeda de Valdeorras ,32018,Carballeda de Valdeorras,,32018,Carballeda de Valdeorras,12.753,"12,753"
32018 Carballeda de Avia ,32019,Carballeda de Avia,,32019,Carballeda de Avia,13.937,"13,937"
"32019 Carballiño, O ",32020,"Carballiño, O ",,32020,"Carballiño, O ",17.594,"17,594"
32020 Cartelle ,32020,Cartelle,,32020,Cartelle,13.063,"13,063"
32021 Castrelo do Val ,32021,Castrelo do Val ,,32021,Castrelo do Val ,13.030,"13,030"
32022 Castrelo de Miño ,32022,Castrelo de Miño ,,32022,Castrelo de Miño ,14.892,"14,892"
32023 Castro Caldelas ,32023,Castro Caldelas ,,32023,Castro Caldelas ,16.812,"16,812"
32024 Celanova ,32024,Celanova,,32024,Celanova,16.914,"16,914"
32025 Cenlle ,32025,Cenlle,,32025,Cenlle,16.857,"16,857"
32026 Coles ,32026,Coles,,32026,Coles,16.215,"16,215"
32027 Cortegada ,32027,Cortegada,,32027,Cortegada,14.391,"14,391"
32028 Cualedro ,32028,Cualedro,,32028,Cualedro,12.867,"12,867"
32029 Chandrexa de Queixa ,32029, Chandrexa de Queixa ,,32029, Chandrexa de Queixa ,12.136,"12,136"
32030 Entrimo ,32030,Entrimo,,32030,Entrimo,13.194,"13,194"
32031 Esgos ,32031,Esgos,,32031,Esgos,14.687,"14,687"
32032 Xinzo de Limia ,32032,Xinzo de Limia ,,32032,Xinzo de Limia ,17.206,"17,206"
32033 Gomesende ,32033,Gomesende,,32033,Gomesende,13.833,"13,833"
"32034 Gudiña, A ",32034,"Gudiña, A ",,32034,"Gudiña, A ",14.300,"14,300"
"32035 Irixo, O ",32035,"Irixo, O ",,32035,"Irixo, O ",12.873,"12,873"
32036 Xunqueira de Ambía ,32036,Xunqueira de Ambía,,32036,Xunqueira de Ambía,14.315,"14,315"
32037 Xunqueira de Espadanedo ,32037,Xunqueira de Espadanedo ,,32037,Xunqueira de Espadanedo ,15.000,"15,000"
32038 Larouco ,32038,Larouco,,32038,Larouco,15.470,"15,470"
32039 Laza ,32039,Laza,,32039,Laza,13.404,"13,404"
32040 Leiro ,32040,Leiro,,32040,Leiro,14.103,"14,103"
32041 Lobeira ,32041,Lobeira,,32041,Lobeira,11.327,"11,327"
32042 Lobios ,32042,Lobios,,32042,Lobios,12.365,"12,365"
